gameid,season,homeOrAway,teamSkaterStatsgoals,teamSkaterStatspim,teamSkaterStatsshots,teamSkaterStatspowerPlayPercentage,teamSkaterStatspowerPlayGoals,teamSkaterStatspowerPlayOpportunities,teamSkaterStatsfaceOffWinPercentage,teamSkaterStatsblocked,teamSkaterStatstakeaways,teamSkaterStatsgiveaways,teamSkaterStatshits,teamid
13,2017,A,0,11,29,0,0,1,50,15,9,7,25,2
13,2018,A,1,10,21,0,0,3,56,13,2,2,26,30
13,2019,A,4,4,30,0,0,2,49,6,5,3,13,52
13,2015,H,2,6,33,20,1,5,55,8,6,6,25,29
13,2016,H,4,10,20,0,0,4,36,10,6,8,20,25
13,2017,H,5,9,37,50,1,2,50,18,8,3,17,29
13,2018,H,4,10,40,33,1,3,44,17,5,5,20,21
13,2019,H,4,4,39,0,0,2,51,8,8,12,21,1
14,2015,A,0,10,22,0,0,3,54,12,0,1,20,10
14,2016,A,2,24,24,0,0,4,44,8,2,5,11,16
14,2017,A,3,6,36,0,0,4,52,12,3,8,20,13
14,2018,A,5,8,25,25,1,4,52,12,5,6,41,4
14,2019,A,2,2,28,50,1,2,52,11,3,22,21,15
14,2015,H,4,8,22,25,1,4,46,8,4,8,24,17
14,2016,H,3,20,27,50,3,6,56,19,8,7,19,18
14,2017,H,5,8,25,33,1,3,49,17,9,7,26,14
14,2018,H,2,10,25,0,0,3,48,10,12,10,31,54
14,2019,H,1,4,26,0,0,1,48,20,10,14,29,2
15,2015,A,3,4,35,33,1,3,40,20,14,16,22,16
15,2016,A,5,14,29,50,2,4,45,15,7,4,10,22
15,2017,A,2,10,30,0,0,7,42,18,2,15,15,54
15,2018,A,3,6,35,0,0,1,46,10,11,5,17,12
15,2019,A,4,12,29,40,2,5,59,13,5,8,18,10
15,2015,H,2,6,36,0,0,2,60,14,19,10,42,2
15,2016,H,3,12,35,0,0,5,55,11,5,9,10,20
15,2017,H,1,16,46,25,1,4,58,20,7,15,20,25
15,2018,H,1,2,32,0,0,3,54,14,7,8,10,29
15,2019,H,1,12,29,20,1,5,41,17,9,16,20,29
16,2015,A,4,10,22,0,0,3,47,10,1,4,29,53
16,2016,A,4,6,30,0,0,2,37,16,2,11,29,4
16,2017,A,5,12,35,67,2,3,40,18,15,8,20,3
16,2018,A,3,10,33,0,0,3,44,15,2,10,21,28
16,2019,A,3,6,31,50,1,2,38,12,7,13,29,16
16,2015,H,1,8,41,0,0,4,53,7,3,7,25,26
16,2016,H,2,6,25,0,0,2,63,13,1,10,32,26
16,2017,H,8,6,42,50,3,6,60,7,17,13,21,10
16,2018,H,2,6,21,0,0,5,56,12,1,12,34,26
16,2019,H,4,4,38,33,1,3,62,14,8,17,16,4
17,2015,A,4,4,31,0,0,3,41,13,2,4,13,14
17,2016,A,1,18,25,25,1,4,39,13,11,11,24,6
17,2017,A,1,14,30,0,0,4,45,13,5,7,25,17
17,2018,A,1,17,44,0,0,3,52,13,2,4,18,3
17,2019,A,5,40,29,0,0,3,37,10,9,7,26,54
17,2015,H,1,6,25,0,0,2,59,10,9,5,30,7
17,2016,H,4,18,24,0,0,4,62,18,9,9,28,10
17,2017,H,1,8,38,0,0,7,55,27,7,19,25,9
17,2018,H,3,15,29,50,2,4,48,13,5,6,18,7
17,2019,H,1,36,35,0,0,5,63,15,11,5,31,28
18,2015,A,4,16,38,17,1,6,55,12,5,5,16,8
18,2016,A,3,10,24,25,1,4,37,11,4,8,28,8
18,2017,A,4,19,30,17,1,6,49,13,5,13,26,14
18,2018,A,5,4,24,0,0,2,49,27,7,14,26,9
18,2019,A,2,20,20,0,0,2,51,11,3,7,11,1
18,2015,H,2,37,21,25,1,4,45,11,4,6,33,6
18,2016,H,3,10,38,0,0,4,63,15,5,8,31,9
18,2017,H,5,23,48,25,1,4,51,13,15,13,14,13
18,2018,H,3,4,37,50,1,2,51,8,16,8,30,10
18,2019,H,7,16,36,75,3,4,49,10,3,7,14,7
19,2015,A,4,10,33,50,3,6,49,19,15,7,32,9
19,2016,A,2,8,34,0,0,3,48,12,7,2,27,1
19,2017,A,1,8,41,0,0,6,50,9,10,6,21,21
19,2018,A,1,6,43,0,0,5,53,13,8,5,22,13
19,2019,A,5,10,42,33,1,3,46,15,5,10,26,8
19,2015,H,4,14,41,25,1,4,51,16,8,10,27,10
19,2016,H,3,10,34,0,0,3,52,11,11,7,27,14
19,2017,H,4,12,39,75,3,4,50,9,15,4,30,1
19,2018,H,1,10,29,0,0,3,47,9,5,11,37,14
19,2019,H,5,6,37,20,1,5,54,18,12,15,19,10
20,2015,A,1,23,39,25,1,4,49,10,5,1,38,4
20,2016,A,1,6,22,0,0,2,55,8,5,6,11,17
20,2017,A,3,8,29,0,0,4,48,11,6,11,23,7
20,2018,A,2,4,19,25,1,4,51,8,8,5,28,22
20,2019,A,4,10,30,67,2,3,67,22,5,11,22,3
20,2015,H,7,17,30,43,3,7,51,10,4,2,31,13
20,2016,H,4,6,38,0,0,2,45,15,16,15,14,13
