player_id,game_id,season,homeOrAway,timeOnIce,assists,goals,pim,shots,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShotsAgainst,evenShotsAgainst,powerPlayShotsAgainst,decision,savePercentage,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,goals_against,shutout,win
8475660,56,2015,H,58:50,0,0,0,29,25,2,1,22,1,25,3,L,86.20689655172413,66.66666666666666,100,88,4,0,0
8471227,57,2015,A,60:00,0,0,0,30,27,7,0,20,0,23,7,W,90,100,,86.95652173913044,3,0,1
8469608,57,2015,H,27:07,0,0,0,17,14,0,1,13,2,14,1,,82.35294117647058,0,50,92.85714285714286,3,0,0
8474765,57,2015,H,31:23,0,0,0,7,6,2,1,3,1,4,2,L,85.71428571428571,100,100,75,1,0,0
8474889,58,2015,A,65:00,0,0,0,32,31,6,1,24,1,24,7,W,96.875,85.71428571428571,100,100,1,0,1
8471239,58,2015,H,64:53,0,0,0,34,33,3,4,26,4,27,3,L,97.05882352941177,100,100,96.29629629629629,1,0,0
8473503,59,2015,A,60:00,0,0,0,27,24,5,0,19,0,21,6,W,88.88888888888889,83.33333333333334,,90.47619047619048,3,0,1
8475683,59,2015,H,58:32,0,0,0,33,28,3,0,25,0,30,3,L,84.84848484848484,100,,83.33333333333334,5,0,0
8470320,60,2015,A,59:52,0,0,0,20,17,2,0,15,0,18,2,W,85,100,,83.33333333333334,3,0,1
8470657,60,2015,H,57:44,0,0,0,36,31,3,1,27,1,31,4,L,86.11111111111111,75,100,87.09677419354838,5,0,0
8471403,61,2015,A,59:13,0,0,0,29,27,3,0,24,0,26,3,L,93.10344827586206,100,,92.3076923076923,2,0,0
8471715,61,2015,H,60:00,0,0,0,20,19,2,0,17,0,18,2,W,95,100,,94.44444444444444,1,0,1
8474596,62,2015,A,60:00,0,0,0,34,31,5,0,26,1,28,5,W,91.17647058823529,100,0,92.85714285714286,3,0,1
8468011,62,2015,H,57:41,0,0,0,32,28,3,0,25,0,29,3,L,87.5,100,,86.20689655172413,4,0,0
8473499,63,2015,A,60:00,0,0,0,35,35,4,0,31,0,31,4,W,100,100,,100,0,1,1
8475883,63,2015,H,58:55,0,0,0,24,22,2,0,20,0,22,2,L,91.66666666666666,100,,90.9090909090909,2,0,0
8475311,64,2015,A,62:19,0,0,0,37,35,10,1,24,1,25,11,L,94.5945945945946,90.9090909090909,100,96,2,0,0
8471734,64,2015,H,62:19,0,0,0,26,25,6,0,19,0,19,7,W,96.15384615384616,85.71428571428571,,100,1,0,1
8475852,65,2015,A,59:21,0,0,0,40,37,8,1,28,1,29,10,L,92.5,80,100,96.55172413793103,3,0,0
8471679,65,2015,H,60:00,0,0,0,22,21,2,3,16,3,17,2,W,95.45454545454545,100,100,94.11764705882352,1,0,1
8475622,66,2015,A,64:44,0,0,0,41,38,5,2,31,2,34,5,W,92.6829268292683,100,100,91.17647058823529,3,0,1
8467950,66,2015,H,65:00,0,0,0,25,22,4,0,18,0,19,6,L,88,66.66666666666666,,94.73684210526315,3,0,0
8473434,67,2015,A,57:00,0,0,0,22,20,5,1,14,1,15,6,L,90.9090909090909,83.33333333333334,100,93.33333333333333,2,0,0
8471750,67,2015,H,59:44,0,0,0,32,31,5,1,25,1,26,5,W,96.875,100,100,96.15384615384616,1,0,1
8470140,68,2015,A,60:00,0,0,0,26,24,0,0,24,0,26,0,W,92.3076923076923,,,92.3076923076923,2,0,1
8466141,68,2015,H,58:58,0,0,0,36,33,1,0,32,0,34,2,L,91.66666666666666,50,,94.11764705882352,3,0,0
8473541,69,2015,A,58:07,0,0,0,33,31,6,1,24,1,26,6,L,93.93939393939394,100,100,92.3076923076923,2,0,0
8470594,69,2015,H,60:00,0,0,0,27,26,8,2,16,2,17,8,W,96.29629629629629,100,100,94.11764705882352,1,0,1
8470320,70,2015,A,60:00,0,0,0,34,30,1,1,28,1,30,3,L,88.23529411764706,33.33333333333333,100,93.33333333333333,4,0,0
8474651,70,2015,H,60:00,0,0,0,19,18,11,0,7,0,8,11,W,94.73684210526315,100,,87.5,1,0,1
8471774,71,2015,A,59:42,1,0,0,33,28,3,1,24,1,28,4,L,84.84848484848484,75,100,85.71428571428571,5,0,0
8470860,71,2015,H,60:00,0,0,0,25,22,1,0,21,0,24,1,W,88,100,,87.5,3,0,1
8470147,72,2015,A,59:06,0,0,0,29,26,4,1,21,1,22,6,L,89.65517241379311,66.66666666666666,100,95.45454545454545,3,0,0
8470645,72,2015,H,59:56,0,0,0,23,22,5,0,17,0,18,5,W,95.65217391304348,100,,94.44444444444444,1,0,1
8475660,73,2015,A,60:00,0,0,0,24,22,5,2,15,2,16,6,W,91.66666666666666,83.33333333333334,100,93.75,2,0,1
8473972,73,2015,H,60:00,0,0,0,28,23,5,0,18,0,22,6,L,82.14285714285714,83.33333333333334,,81.81818181818183,5,0,0
8471695,74,2015,A,60:00,0,0,0,23,20,3,2,15,2,17,4,W,86.95652173913044,75,100,88.23529411764706,3,0,1
8469608,74,2015,H,59:11,0,0,0,43,38,13,2,23,3,24,16,L,88.37209302325581,81.25,66.66666666666666,95.83333333333334,5,0,0
8471239,75,2015,A,63:07,0,0,0,27,26,4,0,22,0,23,4,W,96.29629629629629,100,,95.65217391304348,1,0,1
8468685,75,2015,H,63:07,0,0,0,24,22,0,1,21,1,23,0,L,91.66666666666666,,100,91.30434782608695,2,0,0
8470880,76,2015,A,59:36,0,0,0,29,27,10,1,16,1,16,12,W,93.10344827586206,83.33333333333334,100,100,2,0,1
8471715,76,2015,H,59:03,0,0,0,41,37,11,1,25,1,28,12,L,90.2439024390244,91.66666666666666,100,89.28571428571429,4,0,0
8471227,77,2015,A,58:39,0,0,0,21,18,1,0,17,0,20,1,L,85.71428571428571,100,,85,3,0,0
8471418,77,2015,H,60:00,0,0,0,35,34,2,1,31,1,32,2,W,97.14285714285714,100,100,96.875,1,0,1
8475195,78,2015,A,61:46,0,0,0,34,33,3,0,30,0,31,3,W,97.05882352941177,100,,96.7741935483871,1,0,1
8468011,78,2015,H,61:46,0,0,0,24,22,1,1,20,1,21,2,L,91.66666666666666,50,100,95.23809523809523,2,0,0
8473499,79,2015,A,59:15,0,0,0,40,38,2,0,36,0,38,2,L,95,100,,94.73684210526315,2,0,0
8471734,79,2015,H,59:49,0,0,0,23,22,6,1,15,1,15,7,W,95.65217391304348,85.71428571428571,100,100,1,0,1
8474889,80,2015,A,60:00,0,0,0,28,24,0,3,21,3,24,1,L,85.71428571428571,0,100,87.5,4,0,0
8477293,80,2015,H,60:00,0,0,0,22,22,1,0,21,0,21,1,W,100,100,,100,0,1,1
8469608,81,2015,A,59:58,0,0,0,25,22,4,0,18,1,20,4,L,88,100,0,90,3,0,0
8471239,81,2015,H,60:19,0,0,0,20,18,6,0,12,0,13,7,W,90,85.71428571428571,,92.3076923076923,2,0,1
8474550,82,2015,A,60:00,0,0,0,35,34,11,0,23,0,24,11,W,97.14285714285714,100,,95.83333333333334,1,0,1
8473461,82,2015,H,59:10,0,0,0,32,30,3,1,26,1,28,3,L,93.75,100,100,92.85714285714286,2,0,0
8466141,83,2015,A,61:21,0,0,0,35,32,4,1,27,1,28,6,L,91.42857142857143,66.66666666666666,100,96.42857142857143,3,0,0
8470594,83,2015,H,61:19,0,0,0,33,31,4,1,26,1,28,4,W,93.93939393939394,100,100,92.85714285714286,2,0,1
8470860,84,2015,A,59:57,0,0,0,37,37,11,1,25,1,25,11,W,100,100,100,100,0,1,1
8470147,84,2015,H,58:07,0,0,0,28,25,5,2,18,2,21,5,L,89.28571428571429,100,100,85.71428571428571,3,0,0
8474596,85,2015,A,60:00,0,0,0,36,33,3,3,27,3,30,3,L,91.66666666666666,100,100,90,3,0,0
8471679,85,2015,H,60:00,0,0,0,38,38,1,0,37,0,37,1,W,100,100,,100,0,1,1
8471750,86,2015,A,65:00,0,0,2,33,29,6,1,22,1,26,6,L,87.87878787878788,100,100,84.61538461538461,4,0,0
8471469,86,2015,H,64:57,0,0,0,29,25,0,0,25,0,28,1,W,86.20689655172413,0,,89.28571428571429,4,0,1
8474651,87,2015,A,59:54,0,0,0,19,17,1,1,15,1,17,1,W,89.47368421052632,100,100,88.23529411764706,2,0,1
8473972,87,2015,H,28:23,0,0,0,12,10,1,0,9,0,11,1,,83.33333333333334,100,,81.81818181818183,2,0,0
8471403,87,2015,H,31:37,0,0,0,18,14,2,0,12,0,16,2,L,77.77777777777779,100,,75,4,0,0
8473541,88,2015,A,65:00,0,0,0,35,34,11,0,23,0,24,11,L,97.14285714285714,100,,95.83333333333334,1,0,0
8473434,88,2015,H,65:00,0,0,0,24,23,3,0,20,0,21,3,W,95.83333333333334,100,,95.23809523809523,1,0,1
8473607,89,2015,A,20:00,0,0,0,12,10,1,0,9,0,10,2,,83.33333333333334,50,,90,2,0,0
8473461,89,2015,A,42:09,0,0,0,18,16,0,1,15,2,16,0,W,88.88888888888889,,50,93.75,2,0,1
8471695,89,2015,H,62:09,0,0,0,37,32,0,1,31,1,35,1,L,86.48648648648648,0,100,88.57142857142857,5,0,0
8475852,90,2015,A,56:42,0,0,0,28,25,4,1,20,1,22,5,L,89.28571428571429,80,100,90.9090909090909,3,0,0
8475660,90,2015,H,59:58,0,0,0,29,28,9,1,18,1,19,9,W,96.55172413793103,100,100,94.73684210526315,1,0,1
8470320,91,2015,A,61:47,0,0,0,26,26,5,2,19,2,19,5,W,100,100,100,100,0,1,1
8473575,91,2015,H,61:49,0,0,0,19,18,6,1,11,1,12,6,L,94.73684210526315,100,100,91.66666666666666,1,0,0
8469608,92,2015,A,59:08,0,0,0,27,24,3,0,21,0,23,4,L,88.88888888888889,75,,91.30434782608695,3,0,0
8468685,92,2015,H,59:57,0,0,0,35,34,5,2,27,2,28,5,W,97.14285714285714,100,100,96.42857142857143,1,0,1
8474550,93,2015,A,60:00,0,0,0,34,33,6,2,25,2,26,6,W,97.05882352941177,100,100,96.15384615384616,1,0,1
