Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Will Butcher (13678710),Will Butcher,13678710,D/UTIL,3100,PHI@NJ 11/01/2019 07:00PM ET,NJ,5.79
D,Brandon Montour (13678706),Brandon Montour,13678706,D/UTIL,3100,BUF@WAS 11/01/2019 07:00PM ET,BUF,0
D,Marco Scandella (13678712),Marco Scandella,13678712,D/UTIL,3100,BUF@WAS 11/01/2019 07:00PM ET,BUF,6.17
D,Patrik Nemeth (13678704),Patrik Nemeth,13678704,D/UTIL,3100,DET@CAR 11/01/2019 07:30PM ET,DET,6.68
RW,Corey Perry (13678288),Corey Perry,13678288,W/UTIL,3100,DAL@COL 11/01/2019 09:00PM ET,DAL,5.34
RW,Matt Calvert (13678292),Matt Calvert,13678292,W/UTIL,3100,DAL@COL 11/01/2019 09:00PM ET,COL,6.73
D,Korbinian Holzer (13678708),Korbinian Holzer,13678708,D/UTIL,3100,VAN@ANH 11/01/2019 10:00PM ET,ANH,5.77
C,Yanni Gourde (13678294),Yanni Gourde,13678294,C/UTIL,3100,TB@NYI 11/01/2019 07:00PM ET,TB,5.5
RW,Jesper Bratt (13678296),Jesper Bratt,13678296,W/UTIL,3000,PHI@NJ 11/01/2019 07:00PM ET,NJ,6.07
D,Damon Severson (13678716),Damon Severson,13678716,D/UTIL,3000,PHI@NJ 11/01/2019 07:00PM ET,NJ,4.02
D,Justin Braun (13678720),Justin Braun,13678720,D/UTIL,3000,PHI@NJ 11/01/2019 07:00PM ET,PHI,5.49
RW,Luke Glendening (13678300),Luke Glendening,13678300,W/UTIL,3000,DET@CAR 11/01/2019 07:30PM ET,DET,6.44
C,Brandon Dubinsky (13677972),Brandon Dubinsky,13677972,C/UTIL,3000,CLS@STL 11/01/2019 08:00PM ET,CLS,0
LW,Alexandre Texier (13678302),Alexandre Texier,13678302,W/UTIL,3000,CLS@STL 11/01/2019 08:00PM ET,CLS,4.28
D,Josh Mahura (13678714),Josh Mahura,13678714,D/UTIL,3000,VAN@ANH 11/01/2019 10:00PM ET,ANH,22.1
D,Dmitry Kulikov (13678718),Dmitry Kulikov,13678718,D/UTIL,3000,WPG@SJ 11/01/2019 10:30PM ET,WPG,5.79
RW,Derick Brassard (13678298),Derick Brassard,13678298,W/UTIL,3000,TB@NYI 11/01/2019 07:00PM ET,NYI,5.8
D,Erik Cernak (13678722),Erik Cernak,13678722,D/UTIL,3000,TB@NYI 11/01/2019 07:00PM ET,TB,5.34
C,Casey Mittelstadt (13677974),Casey Mittelstadt,13677974,C/UTIL,2900,BUF@WAS 11/01/2019 07:00PM ET,BUF,6.01
RW,Vladimir Sobotka (13678308),Vladimir Sobotka,13678308,W/UTIL,2900,BUF@WAS 11/01/2019 07:00PM ET,BUF,4.32
RW,Warren Foegele (13678310),Warren Foegele,13678310,W/UTIL,2900,DET@CAR 11/01/2019 07:30PM ET,CAR,3.47
D,Jay Bouwmeester (13678724),Jay Bouwmeester,13678724,D/UTIL,2900,CLS@STL 11/01/2019 08:00PM ET,STL,5.17
D,David Savard (13678728),David Savard,13678728,D/UTIL,2900,CLS@STL 11/01/2019 08:00PM ET,CLS,4.5
LW,Matt Nieto (13678312),Matt Nieto,13678312,W/UTIL,2900,DAL@COL 11/01/2019 09:00PM ET,COL,6.43
D,Taylor Fedun (13678730),Taylor Fedun,13678730,D/UTIL,2900,DAL@COL 11/01/2019 09:00PM ET,DAL,5.4
D,Andrej Sekera (13678734),Andrej Sekera,13678734,D/UTIL,2900,DAL@COL 11/01/2019 09:00PM ET,DAL,5.57
RW,Max Comtois (13678304),Max Comtois,13678304,W/UTIL,2900,VAN@ANH 11/01/2019 10:00PM ET,ANH,4.7
D,Michael Del Zotto (13678726),Michael Del Zotto,13678726,D/UTIL,2900,VAN@ANH 11/01/2019 10:00PM ET,ANH,4.76
C,Adam Lowry (13677984),Adam Lowry,13677984,C/UTIL,2900,WPG@SJ 11/01/2019 10:30PM ET,WPG,2.37
RW,Jack Roslovic (13678306),Jack Roslovic,13678306,W/UTIL,2900,WPG@SJ 11/01/2019 10:30PM ET,WPG,5.55
D,Ville Heinola (13678732),Ville Heinola,13678732,D/UTIL,2900,WPG@SJ 11/01/2019 10:30PM ET,WPG,7
LW,Miles Wood (13678322),Miles Wood,13678322,W/UTIL,2800,PHI@NJ 11/01/2019 07:00PM ET,NJ,4.78
D,Travis Sanheim (13678736),Travis Sanheim,13678736,D/UTIL,2800,PHI@NJ 11/01/2019 07:00PM ET,PHI,4.98
D,Robert Hagg (13678740),Robert Hagg,13678740,D/UTIL,2800,PHI@NJ 11/01/2019 07:00PM ET,PHI,5.78
RW,Garnet Hathaway (13678316),Garnet Hathaway,13678316,W/UTIL,2800,BUF@WAS 11/01/2019 07:00PM ET,WAS,5.35
RW,Kyle Okposo (13678324),Kyle Okposo,13678324,W/UTIL,2800,BUF@WAS 11/01/2019 07:00PM ET,BUF,4.34
C,Frans Nielsen (13677976),Frans Nielsen,13677976,C/UTIL,2800,DET@CAR 11/01/2019 07:30PM ET,DET,2.75
RW,Martin Necas (13678314),Martin Necas,13678314,W/UTIL,2800,DET@CAR 11/01/2019 07:30PM ET,CAR,5.25
LW,Justin Abdelkader (13678326),Justin Abdelkader,13678326,W/UTIL,2800,DET@CAR 11/01/2019 07:30PM ET,DET,3.93
D,Markus Nutivaara (13678738),Markus Nutivaara,13678738,D/UTIL,2800,CLS@STL 11/01/2019 08:00PM ET,CLS,6.33
C,Jason Dickinson (13677980),Jason Dickinson,13677980,C/UTIL,2800,DAL@COL 11/01/2019 09:00PM ET,DAL,2.54
LW,Colin Wilson (13677982),Colin Wilson,13677982,W/UTIL,2800,DAL@COL 11/01/2019 09:00PM ET,COL,4.84
D,Nikita Zadorov (13678744),Nikita Zadorov,13678744,D/UTIL,2800,DAL@COL 11/01/2019 09:00PM ET,COL,5.13
LW,Micheal Ferland (13678318),Micheal Ferland,13678318,W/UTIL,2800,VAN@ANH 11/01/2019 10:00PM ET,VAN,4.11
RW,Troy Terry (13678320),Troy Terry,13678320,W/UTIL,2800,VAN@ANH 11/01/2019 10:00PM ET,ANH,4.01
D,Josh Manson (13678742),Josh Manson,13678742,D/UTIL,2800,VAN@ANH 11/01/2019 10:00PM ET,ANH,5.46
C,Joe Thornton (13677978),Joe Thornton,13677978,C/UTIL,2800,WPG@SJ 11/01/2019 10:30PM ET,SJ,3.11
LW,Carl Hagelin (13678332),Carl Hagelin,13678332,W/UTIL,2700,BUF@WAS 11/01/2019 07:00PM ET,WAS,4.79
RW,Evan Rodrigues (13678334),Evan Rodrigues,13678334,W/UTIL,2700,BUF@WAS 11/01/2019 07:00PM ET,BUF,2.97
D,John Gilmour (13678752),John Gilmour,13678752,D/UTIL,2700,BUF@WAS 11/01/2019 07:00PM ET,BUF,2.9
LW,Taro Hirose (13678336),Taro Hirose,13678336,W/UTIL,2700,DET@CAR 11/01/2019 07:30PM ET,DET,3.68
D,Joel Edmundson (13678746),Joel Edmundson,13678746,D/UTIL,2700,DET@CAR 11/01/2019 07:30PM ET,CAR,4.99
D,Alex Biega (13678750),Alex Biega,13678750,D/UTIL,2700,DET@CAR 11/01/2019 07:30PM ET,DET,5.05
RW,Oskar Sundqvist (13678344),Oskar Sundqvist,13678344,W/UTIL,2700,CLS@STL 11/01/2019 08:00PM ET,STL,3.55
C,Sam Steel (13677986),Sam Steel,13677986,C/UTIL,2700,VAN@ANH 11/01/2019 10:00PM ET,ANH,3.37
LW,Tim Schaller (13678340),Tim Schaller,13678340,W/UTIL,2700,VAN@ANH 11/01/2019 10:00PM ET,VAN,6.26
RW,Carter Rowney (13678342),Carter Rowney,13678342,W/UTIL,2700,VAN@ANH 11/01/2019 10:00PM ET,ANH,4.66
D,Brendan Guhle (13678754),Brendan Guhle,13678754,D/UTIL,2700,VAN@ANH 11/01/2019 10:00PM ET,ANH,6.36
RW,Lukas Radil (13678330),Lukas Radil,13678330,W/UTIL,2700,WPG@SJ 11/01/2019 10:30PM ET,SJ,1.66
LW,Mathieu Perreault (13678338),Mathieu Perreault,13678338,W/UTIL,2700,WPG@SJ 11/01/2019 10:30PM ET,WPG,4.3
LW,Alexander Volkov (13678328),Alexander Volkov,13678328,W/UTIL,2700,TB@NYI 11/01/2019 07:00PM ET,TB,0
D,Jan Rutta (13678748),Jan Rutta,13678748,D/UTIL,2700,TB@NYI 11/01/2019 07:00PM ET,TB,7.8
LW,Scott Laughton (13678364),Scott Laughton,13678364,W/UTIL,2600,PHI@NJ 11/01/2019 07:00PM ET,PHI,5.13
D,Connor Carrick (13678766),Connor Carrick,13678766,D/UTIL,2600,PHI@NJ 11/01/2019 07:00PM ET,NJ,5.45
LW,Zemgus Girgensons (13678348),Zemgus Girgensons,13678348,W/UTIL,2600,BUF@WAS 11/01/2019 07:00PM ET,BUF,3.64
LW,Jimmy Vesey (13678362),Jimmy Vesey,13678362,W/UTIL,2600,BUF@WAS 11/01/2019 07:00PM ET,BUF,3.16
D,Zach Bogosian (13678764),Zach Bogosian,13678764,D/UTIL,2600,BUF@WAS 11/01/2019 07:00PM ET,BUF,0
RW,Brendan Perlini (13678350),Brendan Perlini,13678350,W/UTIL,2600,DET@CAR 11/01/2019 07:30PM ET,DET,1.5
RW,Jordan Martinook (13678360),Jordan Martinook,13678360,W/UTIL,2600,DET@CAR 11/01/2019 07:30PM ET,CAR,3.02
D,Joe Hicketts (13678758),Joe Hicketts,13678758,D/UTIL,2600,DET@CAR 11/01/2019 07:30PM ET,DET,2.8
LW,Sonny Milano (13678346),Sonny Milano,13678346,W/UTIL,2600,CLS@STL 11/01/2019 08:00PM ET,CLS,5
RW,Emil Bemstrom (13678352),Emil Bemstrom,13678352,W/UTIL,2600,CLS@STL 11/01/2019 08:00PM ET,CLS,3.72
LW,Robby Fabbri (13678358),Robby Fabbri,13678358,W/UTIL,2600,CLS@STL 11/01/2019 08:00PM ET,STL,2.26
D,Robert Bortuzzo (13678768),Robert Bortuzzo,13678768,D/UTIL,2600,CLS@STL 11/01/2019 08:00PM ET,STL,2.53
D,Scott Harrington (13678770),Scott Harrington,13678770,D/UTIL,2600,CLS@STL 11/01/2019 08:00PM ET,CLS,6.25
D,Mark Barberio (13678762),Mark Barberio,13678762,D/UTIL,2600,DAL@COL 11/01/2019 09:00PM ET,COL,5.28
C,Derek Grant (13677992),Derek Grant,13677992,C/UTIL,2600,VAN@ANH 11/01/2019 10:00PM ET,ANH,5.59
D,Jordie Benn (13678760),Jordie Benn,13678760,D/UTIL,2600,VAN@ANH 11/01/2019 10:00PM ET,VAN,3.88
C,Andrew Copp (13677988),Andrew Copp,13677988,C/UTIL,2600,WPG@SJ 11/01/2019 10:30PM ET,WPG,3.82
C,Dylan Gambrell (13677994),Dylan Gambrell,13677994,C/UTIL,2600,WPG@SJ 11/01/2019 10:30PM ET,SJ,3.84
C,Cole Bardreau (13677990),Cole Bardreau,13677990,C/UTIL,2600,TB@NYI 11/01/2019 07:00PM ET,NYI,2.38
C,Leo Komarov (13677996),Leo Komarov,13677996,C/UTIL,2600,TB@NYI 11/01/2019 07:00PM ET,NYI,3.87
LW,Michael Dal Colle (13678354),Michael Dal Colle,13678354,W/UTIL,2600,TB@NYI 11/01/2019 07:00PM ET,NYI,2.9
RW,Cal Clutterbuck (13678356),Cal Clutterbuck,13678356,W/UTIL,2600,TB@NYI 11/01/2019 07:00PM ET,NYI,4.32
